J1,J2,J3
0.000000,0.498310,-0.535359
0.003422,0.498280,-0.535327
0.007116,0.498182,-0.535221
0.011084,0.497998,-0.535024
0.015323,0.497714,-0.534719
0.019832,0.497311,-0.534287
0.024611,0.496771,-0.533708
0.029656,0.496074,-0.532959
0.034965,0.495199,-0.532021
0.040537,0.494124,-0.530867
0.046366,0.492827,-0.529475
0.052449,0.491283,-0.527819
0.058781,0.489468,-0.525871
0.065357,0.487357,-0.523606
0.072170,0.484922,-0.520993
0.079213,0.482137,-0.518005
0.086477,0.478974,-0.514611
0.093954,0.475405,-0.510781
0.101633,0.471401,-0.506484
0.109502,0.466933,-0.501689
0.117549,0.461971,-0.496364
0.125760,0.456485,-0.490477
0.134119,0.450447,-0.483997
0.142609,0.443827,-0.476891
0.151213,0.436595,-0.469130
0.159910,0.428723,-0.460681
0.168678,0.420184,-0.451515
0.177495,0.410950,-0.441603
0.186335,0.400996,-0.430918
0.195172,0.390298,-0.419432
0.203978,0.378831,-0.407122
0.212722,0.366577,-0.393965
0.221372,0.353515,-0.379941
0.229895,0.339630,-0.365031
0.238255,0.324908,-0.349221
0.246415,0.309338,-0.332499
0.254335,0.292913,-0.314858
0.261976,0.275630,-0.296293
0.269295,0.257489,-0.276805
0.276248,0.238494,-0.256398
0.282790,0.218655,-0.235081
0.288877,0.197986,-0.212871
0.294459,0.176506,-0.189787
0.299489,0.154241,-0.165857
0.303920,0.131222,-0.141112
0.307701,0.107484,-0.115593
0.310784,0.083073,-0.089345
0.313120,0.058037,-0.062423
0.314661,0.032434,-0.034887
0.315359,0.006326,-0.006806
0.315167,-0.020213,0.021745
0.314043,-0.047108,0.050682
0.311942,-0.074271,0.079912
0.308825,-0.101611,0.109336
0.304656,-0.129028,0.138847
0.299401,-0.156414,0.168329
0.293031,-0.183655,0.197660
0.285521,-0.210631,0.226710
0.276852,-0.237216,0.255341
0.267009,-0.263276,0.283412
0.255987,-0.288672,0.310772
0.243783,-0.313263,0.337267
0.230404,-0.336901,0.362739
0.215867,-0.359435,0.387024
0.200192,-0.380712,0.409957
0.183413,-0.400578,0.431372
0.165570,-0.418877,0.451100
0.146715,-0.435455,0.468974
0.126908,-0.450160,0.484829
0.106221,-0.462840,0.498503
0.084735,-0.473353,0.509840
0.062543,-0.481558,0.518689
0.039747,-0.487325,0.524909
0.016460,-0.490532,0.528367
-0.007195,-0.491066,0.528944
-0.031084,-0.488831,0.526533
-0.055066,-0.483741,0.521044
-0.078990,-0.475729,0.512403
-0.102697,-0.464745,0.500557
-0.126021,-0.450758,0.485474
-0.148792,-0.433758,0.467144
-0.170833,-0.413759,0.445582
-0.191966,-0.390799,0.420830
-0.212009,-0.364941,0.392958
-0.230781,-0.336276,0.362065
-0.248105,-0.304922,0.328279
-0.263803,-0.271026,0.291761
-0.277706,-0.234766,0.252702
-0.289652,-0.196347,0.211327
-0.299488,-0.156006,0.167890
-0.307072,-0.114008,0.122679
-0.312279,-0.070648,0.076012
-0.314997,-0.026247,0.028237
-0.315134,0.018845,-0.020272
-0.312617,0.064258,-0.069113
-0.307396,0.109596,-0.117863
-0.299446,0.154447,-0.166078
-0.288766,0.198384,-0.213298
-0.275382,0.240965,-0.259053
-0.259350,0.281745,-0.302862
-0.240753,0.320275,-0.344245
-0.219706,0.356108,-0.382724
-0.196354,0.388807,-0.417832
-0.170871,0.417949,-0.449116
-0.143464,0.443132,-0.476146
-0.114366,0.463982,-0.498522
-0.083841,0.480157,-0.515880
-0.052179,0.491356,-0.527897
-0.019696,0.497325,-0.534302
0.013272,0.497863,-0.534879
0.046366,0.492827,-0.529475
0.079213,0.482137,-0.518005
0.111425,0.465783,-0.500456
0.142609,0.443827,-0.476891
0.172366,0.416404,-0.447457
0.200296,0.383728,-0.412379
0.226011,0.346091,-0.371968
0.249130,0.303863,-0.326619
0.269295,0.257489,-0.276805
0.286168,0.207488,-0.223082
0.299446,0.154447,-0.166078
0.308862,0.099019,-0.106491
0.314190,0.041912,-0.045082
0.315256,-0.016117,0.017338
0.311942,-0.074271,0.079912
0.304188,-0.131726,0.141752
0.292000,-0.187637,0.201948
0.275452,-0.241157,0.259587
0.254690,-0.291445,0.313759
0.229932,-0.337681,0.363579
0.201471,-0.379081,0.408199
0.169669,-0.414910,0.446823
0.134961,-0.444498,0.478724
0.097844,-0.467250,0.503259
0.058877,-0.482665,0.519882
0.018670,-0.490342,0.528162
-0.022122,-0.489998,0.527791
-0.062814,-0.481474,0.518598
-0.102697,-0.464745,0.500557
-0.141054,-0.439928,0.473797
-0.177175,-0.407286,0.438603
-0.210367,-0.367229,0.395424
-0.239972,-0.320316,0.344867
-0.265381,-0.267253,0.287696
-0.286046,-0.208882,0.224825
-0.301497,-0.146177,0.157308
-0.311349,-0.080230,0.086325
-0.315320,-0.012234,0.013161
-0.313234,0.056534,-0.060807
-0.305031,0.124738,-0.134141
-0.290772,0.191004,-0.205368
-0.270643,0.253952,-0.273005
-0.244953,0.312223,-0.335597
-0.214135,0.364510,-0.391746
-0.178738,0.409593,-0.440147
-0.139425,0.446369,-0.479620
-0.096955,0.473882,-0.509146
-0.052179,0.491356,-0.527897
-0.006022,0.498218,-0.535260
0.040537,0.494124,-0.530867
0.086477,0.478974,-0.514611
0.130763,0.452927,-0.486658
0.172366,0.416404,-0.447457
0.210282,0.370089,-0.397736
0.243565,0.314922,-0.338496
0.271345,0.252084,-0.270998
0.292856,0.182972,-0.196736
0.307458,0.109174,-0.117409
0.314661,0.032434,-0.034887
0.314143,-0.045390,0.048834
0.305767,-0.122368,0.131678
0.289598,-0.196544,0.211539
0.265902,-0.265990,0.286336
0.235157,-0.328853,0.354066
0.198048,-0.383408,0.412863
0.155454,-0.428102,0.461046
0.108432,-0.461608,0.497175
0.058197,-0.482862,0.520095
0.006088,-0.491102,0.528982
-0.046463,-0.485900,0.523371
-0.097975,-0.467184,0.503187
-0.146960,-0.435257,0.468760
-0.191966,-0.390799,0.420830
-0.231627,-0.334865,0.360545
-0.264707,-0.268873,0.289441
-0.290141,-0.194571,0.209415
-0.307072,-0.114008,0.122679
-0.314886,-0.029478,0.031713
-0.313234,0.056534,-0.060807
-0.302051,0.141423,-0.152078
-0.281564,0.222542,-0.239258
-0.252292,0.297285,-0.319554
-0.215039,0.363174,-0.390312
-0.170871,0.417949,-0.449116
-0.121098,0.459653,-0.493877
-0.067231,0.486712,-0.522914
-0.010947,0.498006,-0.535032
0.045960,0.492923,-0.529578
0.101633,0.471401,-0.506484
0.154209,0.433948,-0.466289
0.201880,0.381640,-0.410138
0.242954,0.316098,-0.339759
0.275916,0.239445,-0.257420
0.299489,0.154241,-0.165857
0.312689,0.063400,-0.068191
0.314870,-0.029908,0.032176
0.305767,-0.122368,0.131678
0.285521,-0.210631,0.226710
0.254690,-0.291445,0.313759
0.214249,-0.361765,0.389536
0.165570,-0.418877,0.451100
0.110378,-0.460500,0.495979
0.050701,-0.484883,0.522275
-0.011206,-0.490886,0.528750
-0.072947,-0.478037,0.514892
-0.132079,-0.446573,0.480961
-0.186213,-0.397452,0.428002
-0.233121,-0.332345,0.357829
-0.270830,-0.253593,0.272982
-0.297713,-0.164142,0.176650
-0.312562,-0.067447,0.072568
-0.314651,0.032649,-0.035119
-0.303773,0.132057,-0.142010
-0.280253,0.226606,-0.243625
-0.244953,0.312223,-0.335597
-0.199236,0.385110,-0.413864
-0.144925,0.441933,-0.474859
-0.084237,0.479982,-0.515692
-0.019696,0.497325,-0.534302
0.045960,0.492923,-0.529578
0.109887,0.466705,-0.501444
0.169256,0.419599,-0.450887
0.221372,0.353515,-0.379941
0.263795,0.271278,-0.291618
0.294459,0.176506,-0.189787
0.311779,0.073464,-0.079013
0.314744,-0.033137,0.035650
0.302993,-0.138349,0.148881
0.276852,-0.237216,0.255341
0.237353,-0.325009,0.349924
0.186213,-0.397452,0.428002
0.125767,-0.450928,0.485657
0.058877,-0.482665,0.519882
-0.011206,-0.490886,0.528750
-0.080997,-0.474919,0.511529
-0.146960,-0.435257,0.468760
-0.205693,-0.373568,0.402257
-0.254119,-0.292653,0.315061
-0.289652,-0.196347,0.211327
-0.310349,-0.089356,0.096146
-0.315016,0.022945,-0.024681
-0.303287,0.134768,-0.144924
-0.275650,0.240206,-0.258237
-0.233431,0.333546,-0.358497
-0.178738,0.409593,-0.440147
-0.114366,0.463982,-0.498522
-0.043657,0.493452,-0.530146
0.029656,0.496074,-0.532959
0.101633,0.471401,-0.506484
0.168331,0.420534,-0.451891
0.226011,0.346091,-0.371968
0.271345,0.252084,-0.270998
0.301613,0.143705,-0.154531
0.314877,0.027043,-0.029089
0.310125,-0.091262,0.098197
0.287368,-0.204396,0.219994
0.247678,-0.305762,0.329185
0.193170,-0.389365,0.419285
0.126908,-0.450160,0.484829
0.052749,-0.484360,0.521711
-0.024882,-0.489681,0.527449
-0.101257,-0.465502,0.501374
-0.171646,-0.412948,0.444708
-0.231627,-0.334865,0.360545
-0.277379,-0.235709,0.253718
-0.305936,-0.121325,0.130555
-0.315392,0.001362,-0.001465
-0.305031,0.124738,-0.134141
-0.275382,0.240965,-0.259053
-0.228199,0.342480,-0.368091
-0.166357,0.422505,-0.454007
-0.093692,0.475536,-0.510921
-0.014776,0.497756,-0.534764
0.065357,0.487357,-0.523606
0.141509,0.444713,-0.477843
0.208642,0.372407,-0.400225
0.262205,0.275088,-0.295710
0.298439,0.159175,-0.171159
0.314661,0.032434,-0.034887
0.309480,-0.096548,0.103886
0.282951,-0.218944,0.235662
0.236624,-0.326295,0.351309
0.173497,-0.411081,0.442695
0.097844,-0.467250,0.503259
0.014939,-0.490648,0.528493
-0.069308,-0.479333,0.516290
-0.148792,-0.433758,0.467144
-0.217673,-0.356792,0.384175
-0.270830,-0.253593,0.272982
-0.304260,-0.131311,0.141305
-0.315392,0.001362,-0.001465
-0.303287,0.134768,-0.144924
-0.268722,0.258973,-0.278399
-0.214135,0.364510,-0.391746
-0.143464,0.443132,-0.476146
-0.061871,0.488505,-0.524838
0.024611,0.496771,-0.533708
0.109502,0.466933,-0.501689
0.186335,0.400996,-0.430918
0.249130,0.303863,-0.326619
0.292856,0.182972,-0.196736
0.313843,0.047723,-0.051331
0.310125,-0.091262,0.098197
0.281659,-0.222976,0.240004
0.230404,-0.336901,0.362739
0.160242,-0.423834,0.456444
0.076711,-0.476623,0.513366
-0.013419,-0.490753,0.528606
-0.102697,-0.464745,0.500557
-0.183638,-0.400330,0.431104
-0.249378,-0.302390,0.325552
-0.294288,-0.178657,0.192278
-0.314473,-0.039160,0.042130
-0.308118,0.104525,-0.112411
-0.275650,0.240206,-0.258237
-0.219706,0.356108,-0.382724
-0.144925,0.441933,-0.474859
-0.057571,0.489832,-0.526261
0.034965,0.495199,-0.532021
0.124754,0.457180,-0.491223
0.203978,0.378831,-0.407122
0.265586,0.266896,-0.286910
0.303920,0.131222,-0.141112
0.315256,-0.016117,0.017338
0.298210,-0.161910,0.174246
0.253955,-0.292998,0.315432
0.186213,-0.397452,0.428002
0.100995,-0.465639,0.501521
0.006088,-0.491102,0.528982
-0.089654,-0.471175,0.507491
-0.177175,-0.407286,0.438603
-0.248105,-0.304922,0.328279
-0.295607,-0.173234,0.186439
-0.315057,-0.024308,0.026151
-0.304500,0.127878,-0.137517
-0.264843,0.268725,-0.288875
-0.199767,0.384420,-0.413122
-0.115386,0.463344,-0.497838
-0.019696,0.497325,-0.534302
0.078152,0.482574,-0.518474
0.168678,0.420184,-0.451515
0.242954,0.316098,-0.339759
0.293464,0.180551,-0.194134
0.314877,0.027043,-0.029089
0.304656,-0.129028,0.138847
0.263424,-0.271921,0.292725
0.195022,-0.387132,0.416878
0.106221,-0.462840,0.498503
0.006088,-0.491102,0.528982
-0.094946,-0.468682,0.504803
-0.186213,-0.397452,0.428002
-0.257987,-0.284312,0.306074
-0.302568,-0.140619,0.151325
-0.315134,0.018845,-0.020272
-0.294262,0.177316,-0.190658
-0.242077,0.317773,-0.341558
-0.164023,0.424795,-0.456464
-0.068300,0.486336,-0.522510
0.034965,0.495199,-0.532021
0.134738,0.449981,-0.483497
0.220198,0.355347,-0.381908
0.281873,0.221572,-0.238216
0.312689,0.063400,-0.068191
0.308825,-0.101611,0.109336
0.270263,-0.255064,0.274566
0.200939,-0.379762,0.408933
0.108432,-0.461608,0.497175
0.003183,-0.491168,0.529053
-0.102697,-0.464745,0.500557
-0.196863,-0.384878,0.414448
