J1,J2,J3
0.000000,2.039202,-2.182363
0.013465,2.039080,-2.182232
0.028005,2.038673,-2.181799
0.043619,2.037917,-2.180994
0.060302,2.036745,-2.179746
0.078050,2.035085,-2.177978
0.096856,2.032859,-2.175607
0.116715,2.029985,-2.172547
0.137616,2.026378,-2.168706
0.159548,2.021949,-2.163989
0.182499,2.016602,-2.158295
0.206452,2.010240,-2.151520
0.231391,2.002762,-2.143556
0.257293,1.994063,-2.134291
0.284135,1.984035,-2.123609
0.311890,1.972566,-2.111392
0.340527,1.959543,-2.097520
0.370011,1.944850,-2.081868
0.400302,1.928370,-2.064310
0.431358,1.909985,-2.044721
0.463131,1.889574,-2.022972
0.495567,1.867018,-1.998935
0.528608,1.842199,-1.972482
0.562190,1.814998,-1.943487
0.596244,1.785298,-1.911825
0.630694,1.752987,-1.877373
0.665458,1.717953,-1.840014
0.700448,1.680092,-1.799631
0.735568,1.639303,-1.756117
0.770717,1.595491,-1.709368
0.805785,1.548569,-1.659291
0.840657,1.498458,-1.605797
0.875209,1.445090,-1.548812
0.909311,1.388404,-1.488268
0.942823,1.328355,-1.424113
0.975602,1.264907,-1.356308
1.007495,1.198041,-1.284826
1.038342,1.127753,-1.209660
1.067978,1.054054,-1.130818
1.096229,0.976973,-1.048329
1.122917,0.896560,-0.962238
1.147857,0.812883,-0.872617
1.170860,0.726032,-0.779557
1.191733,0.636119,-0.683172
1.210277,0.543280,-0.583604
1.226294,0.447674,-0.481020
1.239579,0.349485,-0.375613
1.249932,0.248924,-0.267604
1.257151,0.146228,-0.157243
1.261034,0.041659,-0.044809
1.261387,-0.064492,0.069388
1.258019,-0.171907,0.185010
1.250744,-0.280242,0.301690
1.239390,-0.389126,0.419027
1.223792,-0.498160,0.536594
1.203799,-0.606920,0.653935
1.179279,-0.714957,0.770564
1.150113,-0.821798,0.885970
1.116207,-0.926948,0.999614
1.077488,-1.029890,1.110935
1.033910,-1.130088,1.219350
0.985456,-1.226992,1.324257
0.932139,-1.320033,1.425036
0.874006,-1.408634,1.521055
0.811143,-1.492209,1.611671
0.743671,-1.570166,1.696234
0.671755,-1.641914,1.774095
0.595601,-1.706862,1.844604
