J1,J2,J3
-0.240977,0.926025,-0.993787
-0.133746,0.980635,-1.052248
-0.021775,1.003437,-1.076652
0.091424,0.993174,-1.065668
0.202217,0.949731,-1.019167
0.306951,0.874176,-0.938267
0.402066,0.768746,-0.825329
0.484214,0.636795,-0.683897
0.550368,0.482689,-0.518597
0.597949,0.311654,-0.334986
0.624929,0.129602,-0.139371
0.629941,-0.057080,0.061413
0.612363,-0.241758,0.260233
0.572383,-0.417778,0.449915
0.511044,-0.578708,0.623491
0.430244,-0.718565,0.774461
0.332706,-0.832034,0.897029
0.221907,-0.914663,0.986333
0.101959,-0.963043,1.038640
-0.022537,-0.974951,1.051516
-0.146684,-0.949461,1.023954
-0.265491,-0.887021,0.956453
-0.374096,-0.789479,0.851053
-0.467984,-0.660073,0.711307
-0.543198,-0.503359,0.542202
-0.596512,-0.325100,0.350022
-0.625585,-0.132096,0.142150
-0.629065,0.068044,-0.073184
-0.606648,0.267166,-0.287201
-0.559098,0.456898,-0.490920
-0.488219,0.628998,-0.675537
-0.396786,0.775737,-0.832820
-0.288447,0.890278,-0.955511
-0.167589,0.967049,-1.037705
-0.039177,1.002062,-1.075181
0.091424,0.993174,-1.065668
0.218652,0.940253,-1.009020
0.336955,0.845242,-0.907279
0.441022,0.712103,-0.764628
0.526008,0.546658,-0.587228
0.587761,0.356321,-0.382954
0.623040,0.149756,-0.161035
0.629712,-0.063535,0.068358
0.606915,-0.273648,0.294586
0.555171,-0.470742,0.507024
0.476440,-0.645483,0.695558
0.374096,-0.789479,0.851053
0.252818,-0.895665,0.965797
0.118397,-0.958642,1.033880
-0.022537,-0.974951,1.051516
-0.162866,-0.943275,1.017266
-0.295365,-0.864557,0.932175
-0.413117,-0.742023,0.799793
-0.509905,-0.581113,0.626086
-0.580572,-0.389309,0.419224
-0.621307,-0.175854,0.189261
-0.629862,0.048625,-0.052301
-0.605661,0.272602,-0.293040
-0.549832,0.484216,-0.520236
-0.465146,0.671904,-0.721538
-0.355870,0.825073,-0.885675
-0.227570,0.934759,-1.003138
-0.086842,0.994241,-1.066811
0.058990,0.999536,-1.072478
0.202217,0.949731,-1.019167
0.335109,0.847128,-0.909299
0.450299,0.697157,-0.748607
0.541175,0.508082,-0.545843
0.602257,0.290523,-0.312290
0.629555,0.056826,-0.061120
0.620874,-0.179660,0.193359
0.576046,-0.405351,0.436517
0.497056,-0.607197,0.654234
0.388035,-0.773413,0.833698
0.255108,-0.894140,0.964149
0.106076,-0.962004,1.037517
-0.050040,-0.972559,1.048930
-0.203580,-0.924590,0.997065
-0.344892,-0.820259,0.884307
-0.464998,-0.665084,0.716717
-0.556218,-0.467740,0.503787
-0.612692,-0.239676,0.257991
-0.630765,0.005447,-0.005859
-0.609210,0.252493,-0.271438
-0.549295,0.485742,-0.521873
-0.454676,0.689887,-0.740816
-0.331172,0.851102,-0.913556
-0.186410,0.958075,-1.028099
-0.029391,1.002932,-1.076112
0.130018,0.981936,-1.053640
0.281639,0.895886,-0.961516
0.415576,0.750147,-0.805400
0.522815,0.554318,-0.595445
0.595820,0.321549,-0.345613
0.629085,0.067612,-0.072720
0.619618,-0.190216,0.204725
0.567284,-0.434342,0.467774
0.474984,-0.648040,0.698317
0.348605,-0.816550,0.880300
0.196722,-0.928058,1.000814
0.030045,-0.974478,1.051005
-0.139368,-0.952033,1.026735
-0.299042,-0.861581,0.928958
-0.437094,-0.708679,0.763786
-0.543198,-0.503359,0.542202
-0.609406,-0.259606,0.279458
-0.630765,0.005447,-0.005859
-0.605661,0.272602,-0.293040
-0.535903,0.521926,-0.560697
-0.426553,0.734242,-0.788356
-0.285534,0.892698,-0.958102
-0.123082,0.984254,-1.056121
0.048954,1.000943,-1.073984
0.217885,0.940714,-1.009513
0.371030,0.807746,-0.867114
0.496590,0.612182,-0.657504
0.584519,0.369295,-0.396884
0.627344,0.098214,-0.105626
0.620874,-0.179660,0.193359
0.564720,-0.442375,0.476435
0.462554,-0.669132,0.721087
0.322019,-0.841876,0.907665
0.154249,-0.946655,1.020920
-0.026987,-0.974687,1.051231
-0.206474,-0.923087,0.995440
-0.368934,-0.795196,0.857228
-0.500449,-0.600488,0.646994
-0.589747,-0.354043,0.381213
-0.629211,-0.075573,0.081312
-0.615513,0.211982,-0.227911
-0.549832,0.484216,-0.520236
-0.437691,0.717323,-0.770223
-0.288447,0.890278,-0.955511
-0.114525,0.986933,-1.058988
0.069553,0.997769,-1.070587
0.248260,0.921036,-0.988446
0.406257,0.763088,-0.819266
0.529604,0.537850,-0.577780
0.606948,0.265492,-0.285403
0.630616,-0.029507,0.031744
0.597493,-0.320648,0.345224
0.509579,-0.581799,0.626826
0.374096,-0.789479,0.851053
0.203054,-0.924861,0.997358
0.012244,-0.975379,1.051979
-0.180265,-0.935846,1.009233
-0.355978,-0.809013,0.872156
-0.497908,-0.605524,0.652429
-0.592353,-0.343231,0.369561
-0.630275,-0.045885,0.049366
-0.608129,0.258789,-0.278201
-0.528113,0.541527,-0.581724
-0.397846,0.774346,-0.831329
-0.229601,0.933473,-1.001761
-0.039177,1.002062,-1.075181
0.155480,0.972282,-1.043307
0.335801,0.846422,-0.908543
0.484214,0.636795,-0.683897
0.585748,0.364438,-0.391668
0.629555,0.056826,-0.061120
0.610183,-0.255049,0.274550
0.528453,-0.539849,0.581564
0.391746,-0.768977,0.828906
0.213554,-0.919308,0.991354
0.012244,-0.975379,1.051979
-0.190899,-0.930900,1.003886
-0.374096,-0.789479,0.851053
-0.517619,-0.564512,0.608173
-0.606080,-0.278178,0.299465
-0.630126,0.040422,-0.043479
-0.587362,0.357947,-0.384699
-0.482458,0.640166,-0.687511
-0.326518,0.855718,-0.918499
-0.135874,0.979875,-1.051435
0.069553,0.997769,-1.070587
0.268148,0.906512,-0.972895
0.438673,0.715792,-0.768582
0.562360,0.446788,-0.480069
0.624929,0.129602,-0.139371
0.618343,-0.200325,0.215611
0.542068,-0.506287,0.545360
0.403597,-0.754332,0.813087
0.217997,-0.916862,0.988711
0.006401,-0.975509,1.052120
-0.206474,-0.923087,0.995440
-0.395434,-0.764497,0.824067
-0.538064,-0.516484,0.556360
-0.617567,-0.206211,0.221950
-0.624778,0.131319,-0.141217
-0.559098,0.456898,-0.490920
-0.428360,0.731552,-0.785472
-0.247759,0.921385,-0.988819
-0.038090,1.002171,-1.075297
0.176498,0.962930,-1.033296
0.371030,0.807746,-0.867114
0.522356,0.555408,-0.596614
0.611766,0.236923,-0.254710
0.627350,-0.108596,0.116854
0.565825,-0.438937,0.472728
0.433480,-0.713933,0.769459
0.245922,-0.900156,0.970651
0.026430,-0.974723,1.051269
-0.196987,-0.927927,1.000672
-0.395434,-0.764497,0.824067
-0.543198,-0.503359,0.542202
-0.621307,-0.175854,0.189261
-0.619997,0.177538,-0.190896
-0.539764,0.511836,-0.549871
-0.391031,0.783184,-0.840799
-0.192645,0.954873,-1.024671
0.030479,1.002847,-1.076022
0.250262,0.919634,-0.986944
0.438673,0.715792,-0.768582
0.571018,0.418506,-0.449714
0.629085,0.067612,-0.072720
0.603811,-0.290086,0.312294
0.497056,-0.607197,0.654234
0.322019,-0.841876,0.907665
0.101959,-0.963043,1.038640
-0.132848,-0.954208,1.029087
-0.349530,-0.815617,0.879291
-0.517619,-0.564512,0.608173
-0.613664,-0.233425,0.251258
-0.624587,0.133465,-0.143524
-0.549295,0.485742,-0.521873
-0.398481,0.773509,-0.830433
-0.192904,0.954737,-1.024526
0.039449,1.002034,-1.075151
0.266914,0.907452,-0.973901
0.458071,0.684151,-0.734666
0.585748,0.364438,-0.391668
0.630803,-0.005346,0.005751
0.585219,-0.371948,0.400511
0.453979,-0.682973,0.736030
0.255108,-0.894140,0.964149
0.017530,-0.975191,1.051775
-0.223208,-0.913921,0.985531
-0.430650,-0.717988,0.773838
-0.573425,-0.414291,0.446156
-0.630275,-0.045885,0.049366
-0.593161,0.333462,-0.358406
-0.468087,0.666693,-0.715952
-0.273809,0.902131,-0.968204
-0.038905,1.002089,-1.075210
0.202217,0.949731,-1.019167
0.413931,0.752469,-0.807888
0.564209,0.440930,-0.473782
0.629263,0.063730,-0.068545
0.597493,-0.320648,0.345224
0.472053,-0.653128,0.703810
0.271278,-0.882902,0.952002
0.026430,-0.974723,1.051269
-0.223208,-0.913921,0.985531
-0.437094,-0.708679,0.763786
-0.580572,-0.389309,0.419224
-0.630802,-0.004483,0.004822
-0.580309,0.385416,-0.414192
-0.437691,0.717323,-0.770223
-0.225790,0.935875,-1.004333
0.022047,1.003421,-1.076636
0.266914,0.907452,-0.973901
0.469914,0.663420,-0.712443
0.597861,0.312067,-0.335430
0.628594,-0.088025,0.094714
0.555171,-0.470742,0.507024
0.388035,-0.773413,0.833698
0.154249,-0.946655,1.020920
-0.106625,-0.961863,1.037363
-0.349530,-0.815617,0.879291
-0.532350,-0.530555,0.571539
-0.623749,-0.152532,0.164150
-0.608637,0.255852,-0.275046
-0.490289,0.624906,-0.671148
-0.289174,0.889669,-0.954859
-0.039177,1.002062,-1.075181
0.217885,0.940714,-1.009513
0.438673,0.715792,-0.768582
0.585033,0.367272,-0.394712
0.630351,-0.042869,0.046121
0.564720,-0.442375,0.476435
0.397808,-0.761576,0.820912
0.158292,-0.945094,1.019232
-0.110736,-0.960777,1.036190
-0.359866,-0.804944,0.867761
-0.543198,-0.503359,0.542202
-0.627407,-0.107740,0.115933
-0.597861,0.312067,-0.335430
-0.460692,0.679660,-0.729853
-0.240977,0.926025,-0.993787
0.022047,1.003421,-1.076636
0.281639,0.895886,-0.961516
0.491148,0.623195,-0.669315
0.611766,0.236923,-0.254710
0.619618,-0.190216,0.204725
0.511044,-0.578708,0.623491
0.304655,-0.856945,0.923949
0.038937,-0.973744,1.050211
