J1,J2,J3
0.000000,0.812540,0.607350
0.000000,0.823206,0.595593
0.000000,0.834619,0.582814
0.000000,0.846751,0.568995
0.000000,0.859575,0.554120
0.000000,0.873058,0.538170
0.000000,0.887166,0.521128
0.000000,0.901861,0.502976
0.000000,0.917103,0.483697
0.000000,0.932848,0.463273
0.000000,0.949050,0.441690
0.000000,0.965657,0.418931
0.000000,0.982615,0.394983
0.000000,0.999866,0.369834
0.000000,1.017350,0.343473
0.000000,1.034999,0.315893
0.000000,1.052744,0.287088
0.000000,1.070511,0.257056
0.000000,1.088222,0.225797
0.000000,1.105794,0.193316
0.000000,1.123140,0.159622
0.000000,1.140170,0.124727
0.000000,1.156786,0.088650
0.000000,1.172889,0.051413
0.000000,1.188375,0.013046
0.000000,1.203134,-0.026417
0.000000,1.217055,-0.066934
0.000000,1.230019,-0.108457
0.000000,1.241907,-0.150931
0.000000,1.252595,-0.194291
0.000000,1.261954,-0.238467
0.000000,1.269855,-0.283378
0.000000,1.276165,-0.328937
0.000000,1.280749,-0.375045
0.000000,1.283471,-0.421596
0.000000,1.284193,-0.468474
0.000000,1.282778,-0.515552
0.000000,1.279088,-0.562695
0.000000,1.272987,-0.609757
0.000000,1.264342,-0.656584
0.000000,1.253022,-0.703010
0.000000,1.238898,-0.748860
0.000000,1.221851,-0.793952
0.000000,1.201763,-0.838092
0.000000,1.178526,-0.881080
0.000000,1.152042,-0.922707
0.000000,1.122221,-0.962757
0.000000,1.088985,-1.001006
0.000000,1.052269,-1.037228
0.000000,1.012024,-1.071189
0.000000,0.968215,-1.102653
0.000000,0.920827,-1.131382
0.000000,0.869861,-1.157137
0.000000,0.815342,-1.179678
0.000000,0.757315,-1.198771
0.000000,0.695852,-1.214182
0.000000,0.631046,-1.225685
0.000000,0.563021,-1.233061
0.000000,0.491925,-1.236102
0.000000,0.417939,-1.234611
0.000000,0.341270,-1.228403
0.000000,0.262160,-1.217314
0.000000,0.180879,-1.201195
0.000000,0.097730,-1.179919
0.000000,0.013048,-1.153383
0.000000,-0.072801,-1.121510
0.000000,-0.159419,-1.084250
0.000000,-0.246380,-1.041585
0.000000,-0.333228,-0.993529
0.000000,-0.419479,-0.940131
0.000000,-0.504626,-0.881479
0.000000,-0.588140,-0.817698
0.000000,-0.669469,-0.748956
0.000000,-0.748050,-0.675464
0.000000,-0.823304,-0.597477
0.000000,-0.894647,-0.515294
0.000000,-0.961491,-0.429263
0.000000,-1.023248,-0.339778
0.000000,-1.079343,-0.247281
0.000000,-1.129210,-0.152260
0.000000,-1.172306,-0.055252
0.000000,-1.208112,0.043164
0.000000,-1.236144,0.142362
0.000000,-1.255957,0.241677
0.000000,-1.267154,0.340405
0.000000,-1.269391,0.437808
0.000000,-1.262383,0.533117
0.000000,-1.245915,0.625539
