J1,J2,J3
1.260608,-0.034507,-0.066320
1.247768,0.258175,0.156456
1.193390,0.544483,0.373992
1.098701,0.814687,0.578940
0.966335,1.059361,0.764229
0.800286,1.269730,0.923316
0.605818,1.438000,1.050418
0.389320,1.557670,1.140730
0.158118,1.623818,1.190622
-0.079765,1.633331,1.197794
-0.315871,1.585078,1.161404
-0.541617,1.480021,1.082138
-0.748603,1.321246,0.962242
-0.928937,1.113905,0.805497
-1.075547,0.865092,0.617134
-1.182480,0.583621,0.403699
-1.245155,0.279743,0.172857
-1.260589,-0.035211,-0.066856
-1.227555,-0.349241,-0.306331
-1.146692,-0.650129,-0.536217
-1.020532,-0.925911,-0.747298
-0.853465,-1.165367,-0.930865
-0.651620,-1.358484,-1.079107
-0.422673,-1.496906,-1.185472
-0.175577,-1.574317,-1.244996
0.079765,-1.586769,-1.254572
0.332893,-1.532909,-1.213152
0.573217,-1.414123,-1.121850
0.790461,-1.234556,-0.983957
0.975120,-1.001018,-0.804846
1.118893,-0.722780,-0.591789
1.215072,-0.411239,-0.353664
1.258888,-0.079496,-0.100600
1.247768,0.258175,0.156456
1.181520,0.586921,0.406203
1.062403,0.891962,0.637490
0.895108,1.159264,0.839805
0.686611,1.376208,1.003759
0.445928,1.532218,1.121527
0.183750,1.619327,1.187235
-0.088003,1.632627,1.197264
-0.356720,1.570600,1.150484
-0.609676,1.435282,1.048366
-0.834652,1.232267,0.895001
-1.020532,0.970525,0.696987
-1.157882,0.662052,0.463209
-1.239451,0.321353,0.204491
-1.260589,-0.035211,-0.066856
-1.219541,-0.390191,-0.337592
-1.117620,-0.725897,-0.594174
-0.959223,-1.025277,-0.823440
-0.751700,-1.272800,-1.013313
-0.505059,-1.455284,-1.153480
-0.231527,-1.562637,-1.236013
0.055029,-1.588458,-1.255872
0.339790,-1.530473,-1.211280
0.607748,-1.390764,-1.103904
0.844510,-1.175775,-0.938851
1.037087,-0.896089,-0.724455
1.174638,-0.565969,-0.471874
1.249105,-0.202691,-0.194516
1.255728,0.174316,0.092668
1.193390,0.544483,0.373992
1.064770,0.887209,0.633890
0.876299,1.183021,0.857769
0.637901,1.414710,1.032834
0.362524,1.568388,1.148815
0.065476,1.634386,1.198590
-0.236395,1.607933,1.178642
-0.525657,1.489567,1.089342
-0.785303,1.285237,0.935035
