J1,J2,J3
0.315392,0.001362,-0.001465
0.315373,0.005762,0.001887
0.315311,0.010513,0.005506
0.315195,0.015615,0.009391
0.315015,0.021066,0.013543
0.314761,0.026865,0.017960
0.314420,0.033010,0.022639
0.313979,0.039498,0.027580
0.313426,0.046326,0.032779
0.312747,0.053490,0.038234
0.311928,0.060985,0.043942
0.310952,0.068807,0.049897
0.309805,0.076949,0.056096
0.308471,0.085403,0.062532
0.306933,0.094161,0.069200
0.305173,0.103215,0.076091
0.303174,0.112552,0.083199
0.300919,0.122161,0.090513
0.298388,0.132029,0.098023
0.295563,0.142141,0.105719
0.292427,0.152479,0.113586
0.288959,0.163026,0.121612
0.285141,0.173761,0.129780
0.280954,0.184663,0.138075
0.276381,0.195707,0.146478
0.271402,0.206869,0.154969
0.266000,0.218118,0.163526
0.260157,0.229427,0.172128
0.253858,0.240761,0.180749
0.247086,0.252087,0.189363
0.239827,0.263368,0.197942
0.232067,0.274565,0.206456
0.223794,0.285635,0.214874
0.214997,0.296537,0.223163
0.205668,0.307223,0.231287
0.195798,0.317646,0.239211
0.185384,0.327755,0.246896
0.174422,0.337499,0.254302
0.162912,0.346822,0.261389
0.150856,0.355669,0.268113
0.138260,0.363983,0.274432
0.125132,0.371704,0.280300
0.111484,0.378773,0.285671
0.097331,0.385128,0.290500
0.082693,0.390707,0.294740
0.067592,0.395448,0.298343
0.052055,0.399290,0.301262
0.036114,0.402170,0.303450
0.019804,0.404028,0.304862
0.003165,0.404804,0.305452
-0.013757,0.404441,0.305175
-0.030914,0.402881,0.303991
-0.048251,0.400074,0.301858
-0.065709,0.395969,0.298739
-0.083224,0.390522,0.294599
-0.100728,0.383690,0.289408
-0.118149,0.375440,0.283138
-0.135408,0.365740,0.275767
-0.152425,0.354569,0.267277
-0.169113,0.341910,0.257655
-0.185384,0.327755,0.246896
-0.201146,0.312106,0.234999
-0.216303,0.294972,0.221973
-0.230758,0.276373,0.207831
-0.244412,0.256340,0.192597
-0.257165,0.234913,0.176301
-0.268916,0.212147,0.158984
-0.279566,0.188105,0.140694
-0.289014,0.162865,0.121489
-0.297164,0.136517,0.101439
-0.303921,0.109164,0.080620
-0.309197,0.080921,0.059120
-0.312905,0.051918,0.037038
-0.314967,0.022297,0.014480
-0.315311,-0.007790,-0.008435
-0.313873,-0.038174,-0.031583
-0.310600,-0.068680,-0.054826
-0.305449,-0.099117,-0.078022
-0.298388,-0.129287,-0.101018
-0.289398,-0.158982,-0.123657
-0.278475,-0.187988,-0.145774
-0.265629,-0.216083,-0.167201
-0.250887,-0.243041,-0.187764
-0.234291,-0.268634,-0.207288
-0.215902,-0.292632,-0.225599
-0.195798,-0.314808,-0.242522
-0.174078,-0.334937,-0.257885
-0.150856,-0.352802,-0.271522
-0.126268,-0.368193,-0.283271
-0.100468,-0.380911,-0.292981
-0.073627,-0.390775,-0.300512
-0.045938,-0.397615,-0.305735
-0.017606,-0.401286,-0.308538
0.011145,-0.401663,-0.308826
0.040076,-0.398647,-0.306522
0.068936,-0.392166,-0.301574
0.097462,-0.382181,-0.293950
0.125385,-0.368684,-0.283646
0.152425,-0.351702,-0.270682
0.178301,-0.331301,-0.255110
0.202731,-0.307582,-0.237008
0.225436,-0.280689,-0.216487
0.246142,-0.250805,-0.193687
0.264586,-0.218153,-0.168780
0.280515,-0.182998,-0.141969
0.293698,-0.145642,-0.113486
0.303921,-0.106427,-0.083594
0.310998,-0.065731,-0.052579
0.314770,-0.023966,-0.020758
0.315109,0.018429,0.011535
0.311928,0.060985,0.043942
0.305173,0.103215,0.076091
0.294837,0.144612,0.107600
0.280954,0.184663,0.138075
0.263608,0.222848,0.167124
0.242927,0.258652,0.194355
0.219091,0.291569,0.219386
0.192327,0.321113,0.241846
0.162912,0.346822,0.261389
0.131168,0.368270,0.277690
0.097462,0.385073,0.290459
0.062205,0.396898,0.299444
0.025843,0.403468,0.304436
-0.011145,0.404573,0.305276
-0.048251,0.400074,0.301858
-0.084948,0.389911,0.294135
-0.120696,0.374106,0.282125
-0.154948,0.352767,0.265907
-0.187161,0.326091,0.245631
-0.216803,0.294368,0.221513
