J1,J2,J3
0.000000,0.404825,0.305467
0.000000,0.410177,0.299616
0.000000,0.415904,0.293257
0.000000,0.421991,0.286380
0.000000,0.428425,0.278978
0.000000,0.435189,0.271042
0.000000,0.442265,0.262562
0.000000,0.449635,0.253530
0.000000,0.457278,0.243937
0.000000,0.465173,0.233775
0.000000,0.473294,0.223036
0.000000,0.481618,0.211712
0.000000,0.490116,0.199796
0.000000,0.498758,0.187283
0.000000,0.507515,0.174167
0.000000,0.516352,0.160443
0.000000,0.525234,0.146110
0.000000,0.534125,0.131166
0.000000,0.542983,0.115610
0.000000,0.551768,0.099445
0.000000,0.560436,0.082676
0.000000,0.568941,0.065308
0.000000,0.577233,0.047349
0.000000,0.585264,0.028811
0.000000,0.592980,0.009709
0.000000,0.600327,-0.009942
0.000000,0.607247,-0.030121
0.000000,0.613683,-0.050804
0.000000,0.619573,-0.071964
0.000000,0.624855,-0.093571
0.000000,0.629466,-0.115588
0.000000,0.633340,-0.137978
0.000000,0.636412,-0.160696
0.000000,0.638612,-0.183695
0.000000,0.639875,-0.206922
0.000000,0.640131,-0.230319
0.000000,0.639312,-0.253826
0.000000,0.637349,-0.277373
0.000000,0.634176,-0.300891
0.000000,0.629727,-0.324301
0.000000,0.623936,-0.347523
0.000000,0.616741,-0.370469
0.000000,0.608083,-0.393048
0.000000,0.597905,-0.415165
0.000000,0.586154,-0.436719
0.000000,0.572782,-0.457606
0.000000,0.557746,-0.477718
0.000000,0.541008,-0.496943
0.000000,0.522539,-0.515167
0.000000,0.502315,-0.532274
0.000000,0.480320,-0.548142
0.000000,0.456547,-0.562654
0.000000,0.431001,-0.575687
0.000000,0.403694,-0.587121
0.000000,0.374651,-0.596835
0.000000,0.343907,-0.604712
0.000000,0.311512,-0.610636
0.000000,0.277527,-0.614494
0.000000,0.242027,-0.616180
0.000000,0.205102,-0.615592
0.000000,0.166857,-0.612636
0.000000,0.127410,-0.607226
0.000000,0.086897,-0.599284
0.000000,0.045467,-0.588745
0.000000,0.003286,-0.575555
0.000000,-0.039465,-0.559672
0.000000,-0.082590,-0.541069
0.000000,-0.125879,-0.519737
0.000000,-0.169106,-0.495682
0.000000,-0.212034,-0.468927
0.000000,-0.254412,-0.439516
0.000000,-0.295980,-0.407514
0.000000,-0.336467,-0.373005
0.000000,-0.375594,-0.336098
0.000000,-0.413076,-0.296922
0.000000,-0.448623,-0.255633
0.000000,-0.481947,-0.212407
0.000000,-0.512756,-0.167448
0.000000,-0.540764,-0.120981
0.000000,-0.565691,-0.073256
0.000000,-0.587266,-0.024547
0.000000,-0.605231,0.024849
0.000000,-0.619342,0.074615
0.000000,-0.629376,0.124412
0.000000,-0.635132,0.173883
0.000000,-0.636434,0.222656
0.000000,-0.633136,0.270343
0.000000,-0.625124,0.316544
0.000000,-0.612321,0.360854
0.000000,-0.594688,0.402861
0.000000,-0.572226,0.442153
0.000000,-0.544982,0.478320
0.000000,-0.513049,0.510963
0.000000,-0.476567,0.539694
0.000000,-0.435725,0.564143
0.000000,-0.390765,0.583964
0.000000,-0.341976,0.598838
0.000000,-0.289701,0.608483
0.000000,-0.234329,0.612656
0.000000,-0.176300,0.611158
0.000000,-0.116099,0.603841
0.000000,-0.054255,0.590614
0.000000,0.008663,0.571446
0.000000,0.072053,0.546370
0.000000,0.135277,0.515486
0.000000,0.197678,0.478967
0.000000,0.258574,0.437059
0.000000,0.317277,0.390081
0.000000,0.373089,0.338428
0.000000,0.425321,0.282566
0.000000,0.473294,0.223036
0.000000,0.516352,0.160443
0.000000,0.553870,0.095459
0.000000,0.585264,0.028811
0.000000,0.610004,-0.038722
0.000000,0.627621,-0.106321
0.000000,0.637717,-0.173133
0.000000,0.639977,-0.238284
0.000000,0.634176,-0.300891
0.000000,0.620191,-0.360073
0.000000,0.598004,-0.414966
0.000000,0.567713,-0.464735
0.000000,0.529535,-0.508588
0.000000,0.483809,-0.545793
0.000000,0.431001,-0.575687
0.000000,0.371700,-0.597694
0.000000,0.306617,-0.611334
0.000000,0.236583,-0.616239
0.000000,0.162534,-0.612158
0.000000,0.085512,-0.598971
0.000000,0.006641,-0.576694
0.000000,-0.072879,-0.545487
0.000000,-0.151794,-0.505654
0.000000,-0.228815,-0.457650
0.000000,-0.302640,-0.402074
0.000000,-0.371975,-0.339672
0.000000,-0.435560,-0.271327
0.000000,-0.492195,-0.198053
0.000000,-0.540764,-0.120981
0.000000,-0.580259,-0.041349
0.000000,-0.609808,0.039518
0.000000,-0.628693,0.120224
0.000000,-0.636374,0.199329
0.000000,-0.632505,0.275368
0.000000,-0.616950,0.346883
0.000000,-0.589793,0.412448
0.000000,-0.551344,0.470699
0.000000,-0.502146,0.520366
0.000000,-0.442964,0.560305
0.000000,-0.374787,0.589527
0.000000,-0.298810,0.607225
0.000000,-0.216419,0.612805
0.000000,-0.129169,0.605906
0.000000,-0.038759,0.586423
0.000000,0.052999,0.554519
0.000000,0.144214,0.510633
0.000000,0.232952,0.455488
0.000000,0.317277,0.390081
0.000000,0.395289,0.315674
0.000000,0.465173,0.233775
0.000000,0.525234,0.146110
0.000000,0.573950,0.054592
0.000000,0.610004,-0.038722
0.000000,0.632334,-0.131674
0.000000,0.640160,-0.222059
0.000000,0.633024,-0.307675
0.000000,0.610812,-0.386384
0.000000,0.573775,-0.456163
0.000000,0.522539,-0.515167
0.000000,0.458110,-0.561775
0.000000,0.381862,-0.594641
0.000000,0.295520,-0.612738
0.000000,0.201126,-0.615393
0.000000,0.101002,-0.602318
0.000000,-0.002306,-0.573621
0.000000,-0.106089,-0.529825
0.000000,-0.207547,-0.471862
0.000000,-0.303869,-0.401061
0.000000,-0.392307,-0.319130
0.000000,-0.470268,-0.228122
0.000000,-0.535394,-0.130393
0.000000,-0.585638,-0.028550
0.000000,-0.619342,0.074615
0.000000,-0.635293,0.176188
0.000000,-0.632782,0.273217
0.000000,-0.611632,0.362797
0.000000,-0.572226,0.442153
0.000000,-0.515507,0.508735
0.000000,-0.442964,0.560305
0.000000,-0.356602,0.595023
0.000000,-0.258893,0.611519
0.000000,-0.152710,0.608965
0.000000,-0.041252,0.587121
0.000000,0.072053,0.546370
0.000000,0.183638,0.487729
0.000000,0.289915,0.412841
0.000000,0.387381,0.323938
0.000000,0.472733,0.223788
0.000000,0.542983,0.115610
0.000000,0.595563,0.002979
0.000000,0.628430,-0.110296
0.000000,0.640149,-0.220300
0.000000,0.629976,-0.323157
0.000000,0.597905,-0.415165
0.000000,0.544705,-0.492943
0.000000,0.471923,-0.553556
0.000000,0.381862,-0.594641
0.000000,0.277527,-0.614494
0.000000,0.162534,-0.612158
0.000000,0.041004,-0.587466
0.000000,-0.082590,-0.541069
0.000000,-0.203579,-0.474430
0.000000,-0.317285,-0.389791
0.000000,-0.419207,-0.290111
0.000000,-0.505210,-0.178982
0.000000,-0.571709,-0.060512
0.000000,-0.615832,0.060812
0.000000,-0.635556,0.180277
0.000000,-0.629816,0.293126
0.000000,-0.598567,0.394738
0.000000,-0.542815,0.480820
0.000000,-0.464589,0.547604
0.000000,-0.366886,0.592020
0.000000,-0.253557,0.611860
0.000000,-0.129169,0.605906
0.000000,0.001172,0.574027
0.000000,0.132021,0.517224
0.000000,0.257813,0.437625
0.000000,0.373089,0.338428
0.000000,0.472733,0.223788
0.000000,0.552190,0.098649
0.000000,0.607686,-0.031465
0.000000,0.636412,-0.160696
0.000000,0.636688,-0.283124
0.000000,0.608083,-0.393048
0.000000,0.551478,-0.485263
0.000000,0.469083,-0.555314
0.000000,0.364385,-0.599726
0.000000,0.242027,-0.616180
0.000000,0.107623,-0.603643
0.000000,-0.032487,-0.562437
0.000000,-0.171530,-0.494249
0.000000,-0.302640,-0.402074
0.000000,-0.419207,-0.290111
0.000000,-0.515227,-0.163589
0.000000,-0.585638,-0.028550
0.000000,-0.626606,0.108415
0.000000,-0.635755,0.240468
0.000000,-0.612321,0.360854
0.000000,-0.557225,0.463246
0.000000,-0.473049,0.542087
0.000000,-0.363929,0.592911
0.000000,-0.235361,0.612630
0.000000,-0.093933,0.599751
0.000000,0.052999,0.554519
0.000000,0.197678,0.478967
0.000000,0.332344,0.376860
0.000000,0.449635,0.253530
0.000000,0.542983,0.115610
0.000000,0.606983,-0.029314
0.000000,0.637717,-0.173133
0.000000,0.633024,-0.307675
0.000000,0.592678,-0.425193
0.000000,0.518478,-0.518821
0.000000,0.414222,-0.582994
0.000000,0.285559,-0.613788
0.000000,0.139715,-0.609163
0.000000,-0.014886,-0.569113
0.000000,-0.169106,-0.495682
0.000000,-0.313644,-0.392887
0.000000,-0.439618,-0.266521
0.000000,-0.539137,-0.123860
0.000000,-0.605833,0.026717
0.000000,-0.635293,0.176188
0.000000,-0.625385,0.315399
0.000000,-0.576425,0.435617
0.000000,-0.491193,0.529080
0.000000,-0.374787,0.589527
0.000000,-0.234329,0.612656
0.000000,-0.078538,0.596480
0.000000,0.082795,0.541541
0.000000,0.239400,0.450962
0.000000,0.381164,0.330310
0.000000,0.498758,0.187283
0.000000,0.584246,0.031231
0.000000,0.631624,-0.127464
0.000000,0.637271,-0.278094
0.000000,0.600263,-0.410375
0.000000,0.522539,-0.515167
0.000000,0.408874,-0.585133
0.000000,0.266648,-0.615256
0.000000,0.105417,-0.603208
0.000000,-0.063706,-0.549536
0.000000,-0.228815,-0.457650
0.000000,-0.378071,-0.333631
0.000000,-0.500587,-0.185870
0.000000,-0.587266,-0.024547
0.000000,-0.631522,0.139021
0.000000,-0.629816,0.293126
0.000000,-0.581964,0.426489
0.000000,-0.491193,0.529080
0.000000,-0.363929,0.592911
0.000000,-0.209356,0.612710
0.000000,-0.038759,0.586423
0.000000,0.135277,0.515486
0.000000,0.299769,0.404824
0.000000,0.442265,0.262562
0.000000,0.551768,0.099445
0.000000,0.619573,-0.071964
0.000000,0.639977,-0.238284
0.000000,0.610812,-0.386384
0.000000,0.533731,-0.504458
0.000000,0.414222,-0.582994
0.000000,0.261301,-0.615549
0.000000,0.086897,-0.599284
